constructorId,constructor_name,year,era,entries,total_dnfs,mechanical_dnfs,accident_dnfs,other_dnfs,total_points,total_wins,pts_lost_to_dnf,dnf_rate,mechanical_dnf_rate,reliability_index,rolling3_reliability,era_reliability,era_mech_dnf_rate
16,BAR,2003,V10,32,14,11,1,2,26.0,0,0.0,0.4375,0.34375,0.5625,0.5502450980392156,0.5677966101694916,0.3093220338983051
16,BAR,2004,V10,36,9,7,2,0,119.0,0,0.0,0.25,0.19444444444444445,0.75,0.5845588235294118,0.5677966101694916,0.3093220338983051
16,BAR,2005,V10,34,13,6,2,5,38.0,0,2.0,0.38235294117647056,0.17647058823529413,0.6176470588235294,0.6433823529411765,0.5677966101694916,0.3093220338983051
17,Jordan,1991,Pre-V10,32,16,10,5,1,13.0,0,1.0,0.5,0.3125,0.5,0.5,0.3984375,0.328125
17,Jordan,1992,Pre-V10,32,23,13,6,4,1.0,0,0.0,0.71875,0.40625,0.28125,0.390625,0.3984375,0.328125
17,Jordan,1993,Pre-V10,32,19,12,6,1,3.0,0,1.0,0.59375,0.375,0.40625,0.3958333333333333,0.3984375,0.328125
17,Jordan,1994,Pre-V10,32,19,7,11,1,28.0,0,0.0,0.59375,0.21875,0.40625,0.3645833333333333,0.3984375,0.328125
17,Jordan,1995,V10,34,18,13,5,0,21.0,0,0.0,0.5294117647058824,0.38235294117647056,0.47058823529411764,0.4276960784313726,0.5618279569892473,0.2661290322580645
17,Jordan,1996,V10,32,15,6,9,0,22.0,0,4.0,0.46875,0.1875,0.53125,0.46936274509803927,0.5618279569892473,0.2661290322580645
17,Jordan,1997,V10,34,14,5,9,0,33.0,0,0.0,0.4117647058823529,0.14705882352941177,0.5882352941176471,0.5300245098039216,0.5618279569892473,0.2661290322580645
17,Jordan,1998,V10,32,13,9,3,1,34.0,1,1.0,0.40625,0.28125,0.59375,0.5710784313725491,0.5618279569892473,0.2661290322580645
17,Jordan,1999,V10,32,14,7,6,1,61.0,2,15.0,0.4375,0.21875,0.5625,0.5814950980392157,0.5618279569892473,0.2661290322580645
17,Jordan,2000,V10,34,18,11,7,0,17.0,0,1.0,0.5294117647058824,0.3235294117647059,0.47058823529411764,0.542279411764706,0.5618279569892473,0.2661290322580645
17,Jordan,2001,V10,34,17,9,7,1,19.0,0,0.0,0.5,0.2647058823529412,0.5,0.511029411764706,0.5618279569892473,0.2661290322580645
17,Jordan,2002,V10,34,16,9,6,1,9.0,0,1.0,0.47058823529411764,0.2647058823529412,0.5294117647058824,0.5,0.5618279569892473,0.2661290322580645
17,Jordan,2003,V10,32,17,14,3,0,13.0,1,0.0,0.53125,0.4375,0.46875,0.49938725490196073,0.5618279569892473,0.2661290322580645
17,Jordan,2004,V10,36,15,11,4,0,5.0,0,0.0,0.4166666666666667,0.3055555555555556,0.5833333333333333,0.5271650326797386,0.5618279569892473,0.2661290322580645
17,Jordan,2005,V10,38,6,5,1,0,12.0,0,0.0,0.15789473684210525,0.13157894736842105,0.8421052631578947,0.6313961988304094,0.5618279569892473,0.2661290322580645
18,Minardi,1985,Pre-V10,15,13,8,5,0,0.0,0,2.0,0.8666666666666667,0.5333333333333333,0.1333333333333333,0.1333333333333333,0.33112582781456956,0.3741721854304636
18,Minardi,1986,Pre-V10,31,29,23,4,2,0.0,0,0.0,0.9354838709677419,0.7419354838709677,0.06451612903225812,0.09892473118279571,0.33112582781456956,0.3741721854304636
18,Minardi,1987,Pre-V10,32,29,23,4,2,0.0,0,1.0,0.90625,0.71875,0.09375,0.09719982078853047,0.33112582781456956,0.3741721854304636
